"idvisitas","idvalidacion","iduser","idgeo","fvisita","idobs1","idobs2","idviento","temperatura","idnubes","observaciones","fcreacion","fmodificacion","ptf","protocolo","ffin"
44,NULL,NULL,"14","2009-07-06 10:05:00",55,0,0,NULL,1,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-14-20090706",16,"2009-07-06 12:00:00"
45,NULL,NULL,"14","2009-07-16 11:05:00",76,0,1,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-14-20090716",16,"2009-07-16 12:05:00"
46,NULL,NULL,"14","2009-07-24 11:30:00",76,84,0,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-14-20090724",16,"2009-07-24 00:00:00"
47,NULL,NULL,"14","2009-07-29 11:30:00",76,0,0,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-14-20090729",16,"2009-07-29 12:19:59"
48,NULL,NULL,"17","2009-08-07 11:00:00",55,0,0,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-17-20090807",16,"2009-08-07 11:40:00"
49,NULL,NULL,"16","2009-08-10 12:06:00",55,85,2,NULL,3,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-16-20090810",16,"2009-08-10 13:02:59"
50,NULL,NULL,"16","2009-08-05 10:30:00",76,85,2,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-16-20090805",16,"2009-08-05 11:30:00"
51,NULL,NULL,"14","2009-08-04 10:30:00",76,55,1,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-14-20090804",16,"2009-08-04 11:30:00"
52,NULL,NULL,"14","2009-08-14 11:20:00",55,85,1,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-14-20090814",16,"2009-08-14 12:37:00"
53,NULL,NULL,"16","2009-08-18 10:10:00",76,85,2,NULL,2,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-16-20090818",16,"2009-08-18 11:00:00"
54,NULL,NULL,"17","2009-08-21 10:40:00",76,85,0,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-17-20090821",16,"2009-08-21 11:40:00"
55,NULL,NULL,"14","2009-08-20 11:25:00",76,85,0,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-14-20090820",16,"2009-08-20 12:30:00"
56,NULL,NULL,"15","2009-08-19 10:10:00",76,85,1,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-15-20090819",16,"2009-08-19 10:50:00"
57,NULL,NULL,"20","2010-05-25 11:45:00",77,76,0,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-20-20100525",16,"2010-05-25 13:00:00"
58,NULL,NULL,"20","2010-06-22 12:50:00",77,76,1,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-20-20100622",16,"2010-06-22 13:30:00"
59,NULL,NULL,"20","2010-07-14 10:30:00",77,87,0,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-20-20100714",16,"2010-07-14 11:45:00"
60,NULL,NULL,"20","2010-07-22 12:15:00",77,0,1,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-20-20100722",16,"2010-07-22 00:00:00"
61,NULL,NULL,"24","2010-06-21 10:50:00",77,76,1,NULL,1,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-24-20100621",16,"2010-06-21 00:00:00"
62,NULL,NULL,"24","2010-06-29 10:15:00",55,83,0,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-24-20100629",16,"2010-06-29 12:25:00"
63,NULL,NULL,"24","2010-07-27 10:10:00",77,87,1,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-24-20100727",16,"2010-07-27 11:30:00"
64,NULL,NULL,"23","2010-05-20 13:13:00",77,76,0,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-23-20100520",16,"2010-05-20 14:15:00"
65,NULL,NULL,"23","2010-06-23 09:40:00",55,76,0,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-23-20100623",16,"2010-06-23 11:10:00"
66,NULL,NULL,"23","2010-06-30 11:35:00",76,77,0,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-23-20100630",16,"2010-06-30 00:00:00"
67,NULL,NULL,"23","2010-07-28 11:45:00",77,87,1,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-23-20100728",16,"2010-07-28 12:50:00"
68,NULL,NULL,"25","2010-07-06 17:47:00",77,55,1,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-25-20100706",16,"2010-07-06 19:00:00"
69,NULL,NULL,"25","2010-07-12 17:00:00",77,0,1,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-25-20100712",16,"2010-07-12 19:00:00"
70,NULL,NULL,"25","2010-07-15 10:20:00",77,0,0,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-25-20100715",16,"2010-07-15 11:47:00"
71,NULL,NULL,"14","2010-07-08 11:05:00",74,55,2,NULL,3,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-14-20100708",16,"2010-07-08 12:50:00"
72,NULL,NULL,"18","2010-06-08 12:00:00",77,76,1,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-18-20100608",16,"2010-06-08 13:20:00"
73,NULL,NULL,"18","2010-07-13 13:00:00",77,87,1,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-18-20100713",16,"2010-07-13 14:00:00"
74,NULL,NULL,"17","2010-07-13 11:30:00",77,87,0,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-17-20100713",16,"2010-07-13 13:00:00"
75,NULL,NULL,"25","2010-06-01 10:40:00",76,55,0,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-25-20100601",16,"2010-06-01 11:45:00"
76,NULL,NULL,"25","2010-08-05 10:42:00",77,88,0,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-25-20100805",16,"2010-08-05 11:26:00"
77,NULL,NULL,"18","2010-08-03 12:25:00",77,0,0,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-18-20100803",16,"2010-08-03 00:00:00"
78,NULL,NULL,"17","2010-08-03 10:30:00",77,0,1,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-17-20100803",16,"2010-08-03 12:25:00"
79,NULL,NULL,"16","2010-07-07 09:40:00",80,55,1,NULL,2,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-16-20100707",16,"2010-07-07 11:10:00"
80,NULL,NULL,"16","2010-07-21 18:20:00",77,0,0,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-16-20100721",16,"2010-07-21 19:25:00"
81,NULL,NULL,"16","2010-08-02 11:07:00",77,0,1,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-16-20100802",16,"2010-08-02 12:15:00"
82,NULL,NULL,"21","2010-06-23 12:55:00",76,55,0,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-21-20100623",16,"2010-06-23 00:00:00"
83,NULL,NULL,"21","2010-06-30 11:45:00",86,55,0,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-21-20100630",16,"2010-06-30 13:00:00"
84,NULL,NULL,"21","2010-07-27 12:51:00",77,87,1,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-21-20100727",16,"2010-07-27 14:10:00"
85,NULL,NULL,"21","2010-05-28 12:19:59",76,77,0,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-21-20100528",16,"2010-05-28 00:00:00"
86,NULL,NULL,"14","2010-07-19 11:00:00",77,0,0,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-14-20100719",16,"2010-07-19 12:10:00"
87,NULL,NULL,"16","2008-08-11 12:00:00",77,0,1,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-16-20080811",16,"2008-08-11 13:00:00"
88,NULL,NULL,"24","2010-08-12 11:00:00",77,0,1,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-24-20100812",16,"2010-08-12 12:13:00"
89,NULL,NULL,"38","2014-10-03 13:51:00",102,0,8,NULL,2,"35% sol y 65% nubes","2021-04-13 00:00:00","2021-04-13 00:00:00","16-38-20141003",16,"2014-10-03 14:05:00"
90,NULL,NULL,"34","2017-10-04 12:57:00",77,0,3,NULL,0,"100% sol y 0% nubes","2021-04-13 00:00:00","2021-04-13 00:00:00","16-34-20171004",16,"2017-10-04 13:05:00"
91,NULL,NULL,"38","2013-07-25 00:00:00",82,0,8,NULL,5,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-38-20130725",16,"2013-07-25 00:00:00"
92,NULL,NULL,"20","2012-08-29 09:00:00",55,0,0,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-20-20120829",16,"2012-08-29 10:10:00"
