"idesp","id","nombre_cientifico","created_at","updated_at","ent_pk","imagen","dicc_ecologia_id","dicc_biogeovoou_id","dicc_biogeosimple_id","dicc_estatussn_id","dicc_ecologiatrofica_id","ent_pk_padre","autor","nombre_comun","nivel","audio","idprotocolo"
16004,16311,"Centaurium tenuiflorum subsp. tenuiflorum","2011-05-16 13:49:20.292955","2011-05-16 13:49:20.292955",9232,NULL,NULL,NULL,NULL,NULL,NULL,9230,NULL,NULL,10,NULL,NULL
16005,16312,"Gentiana","2011-05-16 13:49:20.305224","2011-05-16 13:49:20.305224",9233,NULL,NULL,NULL,NULL,NULL,NULL,1852,NULL,NULL,8,NULL,NULL
16006,16313,"Gentiana alpina","2011-05-16 13:49:20.317389","2011-05-16 13:49:20.317389",9234,NULL,NULL,NULL,NULL,NULL,NULL,9233,NULL,"Genciana",9,NULL,NULL
16007,16314,"Gentiana boryi","2011-05-16 13:49:20.329656","2011-05-16 13:49:20.329656",9235,NULL,NULL,NULL,NULL,NULL,NULL,9233,NULL,"Genciana blanca",9,NULL,NULL
16008,16315,"Gentiana brachyphylla","2011-05-16 13:49:20.341874","2011-05-16 13:49:20.341874",9236,NULL,NULL,NULL,NULL,NULL,NULL,9233,NULL,NULL,9,NULL,NULL
16009,16316,"Gentiana ligustica","2011-05-16 13:49:20.354273","2011-05-16 13:49:20.354273",9237,NULL,NULL,NULL,NULL,NULL,NULL,9233,NULL,NULL,9,NULL,NULL
16010,16317,"Gentiana lutea","2011-05-16 13:49:20.36642","2011-05-16 13:49:20.36642",9238,NULL,NULL,NULL,NULL,NULL,NULL,9233,NULL,"Genciana amarilla",9,NULL,NULL
16011,16318,"Gentiana lutea subsp. lutea","2011-05-16 13:49:20.378521","2011-05-16 13:49:20.378521",106592,NULL,NULL,NULL,NULL,NULL,NULL,9238,NULL,NULL,10,NULL,NULL
16012,16319,"Gentiana pneumonanthe","2011-05-16 13:49:20.390546","2011-05-16 13:49:20.390546",9239,NULL,NULL,NULL,NULL,NULL,NULL,9233,NULL,NULL,9,NULL,NULL
16013,16320,"Gentiana pneumonanthe subsp. depressa","2011-05-16 13:49:20.402559","2011-05-16 13:49:20.402559",104837,NULL,NULL,NULL,NULL,NULL,NULL,9239,NULL,"Genciana",10,NULL,NULL
