"transect_id","transect_nombre","cult_id","loc","cultivo","replicate","distance"
204,"C006",2,"CANAR","CULT_2","R2",18690.5552783195
204,"C006",5,"SANJUAN","CULT_1","R1",705.190203941971
204,"C006",1,"CANAR","CULT_1","R1",19766.3318917074
226,"C010",3,"CANAR","CULT_3","R3",18341.6425027612
226,"C010",2,"CANAR","CULT_2","R2",18735.9310329753
226,"C010",4,"SANJUAN","CULT_2","R2",7.44054314161199
226,"C010",5,"SANJUAN","CULT_1","R1",782.718485311783
226,"C010",1,"CANAR","CULT_1","R1",19815.1371932509
296,"D001p",3,"CANAR","CULT_3","R3",551.083604598234
296,"D001p",2,"CANAR","CULT_2","R2",750.127159405033
296,"D001p",4,"SANJUAN","CULT_2","R2",17769.3458412428
296,"D001p",5,"SANJUAN","CULT_1","R1",17946.5973823151
296,"D001p",1,"CANAR","CULT_1","R1",2187.53088246897
295,"D001r",1,"CANAR","CULT_1","R1",2151.82328061396
295,"D001r",3,"CANAR","CULT_3","R3",523.727962206383
295,"D001r",2,"CANAR","CULT_2","R2",715.401155833229
295,"D001r",4,"SANJUAN","CULT_2","R2",17798.8832926556
295,"D001r",5,"SANJUAN","CULT_1","R1",17975.2654386095
297,"D002p",3,"CANAR","CULT_3","R3",434.476465517546
297,"D002p",2,"CANAR","CULT_2","R2",685.099208604209
297,"D002p",4,"SANJUAN","CULT_2","R2",17712.0938004195
297,"D002p",5,"SANJUAN","CULT_1","R1",17883.4505064594
297,"D002p",1,"CANAR","CULT_1","R1",2129.74800238517
298,"D002r",5,"SANJUAN","CULT_1","R1",17913.2434793699
298,"D002r",4,"SANJUAN","CULT_2","R2",17742.7149227435
298,"D002r",2,"CANAR","CULT_2","R2",648.887080141629
298,"D002r",3,"CANAR","CULT_3","R3",403.05373294825
298,"D002r",1,"CANAR","CULT_1","R1",2093.61173393298
299,"D003p",2,"CANAR","CULT_2","R2",666.752534381687
299,"D003p",1,"CANAR","CULT_1","R1",2107.39048045245
299,"D003p",5,"SANJUAN","CULT_1","R1",17848.8629873871
299,"D003p",4,"SANJUAN","CULT_2","R2",17680.4708069413
299,"D003p",3,"CANAR","CULT_3","R3",389.289945510668
300,"D003r",2,"CANAR","CULT_2","R2",635.446067790066
300,"D003r",1,"CANAR","CULT_1","R1",2076.73847736482
300,"D003r",5,"SANJUAN","CULT_1","R1",17877.8464423658
300,"D003r",4,"SANJUAN","CULT_2","R2",17709.9715259851
300,"D003r",3,"CANAR","CULT_3","R3",362.127538939214
344,"D004",3,"CANAR","CULT_3","R3",560.854646562446
344,"D004",1,"CANAR","CULT_1","R1",2269.59724899339
344,"D004",5,"SANJUAN","CULT_1","R1",17457.677265036
344,"D004",4,"SANJUAN","CULT_2","R2",17299.8596371576
344,"D004",2,"CANAR","CULT_2","R2",937.58137025407
343,"D005",3,"CANAR","CULT_3","R3",655.38045297433
343,"D005",1,"CANAR","CULT_1","R1",2355.44916963143
343,"D005",5,"SANJUAN","CULT_1","R1",17359.1529576711
343,"D005",4,"SANJUAN","CULT_2","R2",17201.3094513671
343,"D005",2,"CANAR","CULT_2","R2",1035.40261871108
342,"D006",1,"CANAR","CULT_1","R1",2291.36364618561
342,"D006",5,"SANJUAN","CULT_1","R1",17354.3348414707
342,"D006",4,"SANJUAN","CULT_2","R2",17202.4919315558
342,"D006",2,"CANAR","CULT_2","R2",1030.12341033998
342,"D006",3,"CANAR","CULT_3","R3",634.666287685134
341,"D007",2,"CANAR","CULT_2","R2",1108.44744083874
341,"D007",1,"CANAR","CULT_1","R1",2337.82245261866
341,"D007",5,"SANJUAN","CULT_1","R1",17277.4674994989
341,"D007",4,"SANJUAN","CULT_2","R2",17127.9125884581
341,"D007",3,"CANAR","CULT_3","R3",710.391370824688
304,"D008",5,"SANJUAN","CULT_1","R1",17167.9864212233
304,"D008",3,"CANAR","CULT_3","R3",821.357674211196
304,"D008",2,"CANAR","CULT_2","R2",1218.85320727524
304,"D008",4,"SANJUAN","CULT_2","R2",17020.1073047572
304,"D008",1,"CANAR","CULT_1","R1",2423.27195735281
305,"D009",1,"CANAR","CULT_1","R1",2538.91907676251
305,"D009",3,"CANAR","CULT_3","R3",932.295846782325
305,"D009",2,"CANAR","CULT_2","R2",1330.2943823368
305,"D009",4,"SANJUAN","CULT_2","R2",16906.5422543121
305,"D009",5,"SANJUAN","CULT_1","R1",17055.6401190698
303,"D010",3,"CANAR","CULT_3","R3",965.626072002248
303,"D010",1,"CANAR","CULT_1","R1",2515.95823371615
303,"D010",5,"SANJUAN","CULT_1","R1",17033.3031917621
